Species,Lake, TadpoleDensity, Length
callibaetis,10475,20,3.6
callibaetis,10475,20,3.4
callibaetis,10475,20,3.7
callibaetis,10475,20,3.5
callibaetis,10475,20,3.2
callibaetis,10475,20,2.7
ameletus,10475,0,5.2
ameletus,10475,0,5.3
ameletus,10475,0,4.9
ameletus,10475,0,4.6
ameletus,10475,0,6.4
ameletus,10475,0,5.3
ameletus,10475,0,5.3
ameletus,10475,0,5.5
ameletus,10475,0,6.5
ameletus,10475,0,6.2
ameletus,10475,0,6
ameletus,10475,0,4.9
ameletus,10475,0,4.3
ameletus,10475,0,6.3
ameletus,10475,0,4.8
ameletus,10475,0,4.9
ameletus,10475,0,5
ameletus,10475,0,6.5
ameletus,10475,0,4.5
ameletus,10475,0,3.7
ameletus,10475,0,5.5
ameletus,10475,0,5.2
ameletus,10475,0,6.3
ameletus,10475,0,2.5
ameletus,10475,0,5.2
ameletus,10475,0,6.5
ameletus,10475,0,5.8
ameletus,10475,0,5.6
ameletus,10475,0,4.8
ameletus,10475,0,5.2
ameletus,10475,0,4.5
ameletus,10475,0,2.7
ameletus,10475,0,3.1
ameletus,10475,0,3.2
callibaetis,10475,0,5.5
callibaetis,10475,0,6.1
callibaetis,10475,0,6.2
callibaetis,10475,0,6.8
callibaetis,10475,0,6.3
callibaetis,10475,0,4.1
callibaetis,10475,0,6
callibaetis,10475,0,6.8
callibaetis,10475,0,3.9
callibaetis,10475,0,5.3
callibaetis,10475,0,5.5
callibaetis,10475,0,4.8
callibaetis,10475,0,6
callibaetis,10475,0,5.4
callibaetis,10475,0,5.6
callibaetis,10475,0,5.3
callibaetis,10475,0,5.4
callibaetis,10475,0,5.8
callibaetis,10475,0,5.6
callibaetis,10475,0,5.5
callibaetis,10475,0,5.7
callibaetis,10475,0,4.5
callibaetis,10475,0,5.3
callibaetis,10475,0,6.2
callibaetis,10475,0,4.5
callibaetis,10475,0,5.3
callibaetis,10475,0,6.2
callibaetis,10475,0,5.4
callibaetis,10475,0,4.4
callibaetis,10475,0,4.9
callibaetis,10475,0,5.2
callibaetis,10475,0,5.6
callibaetis,10475,0,3.4
callibaetis,10475,0,6.2
callibaetis,10475,0,5.2
callibaetis,10475,0,4.5
callibaetis,10475,0,5.2
callibaetis,10475,0,6
callibaetis,10475,0,5.5
callibaetis,10475,0,5.1
callibaetis,10475,0,6.2
callibaetis,10475,0,5.8
callibaetis,10475,0,4.1
callibaetis,10475,0,5.6
callibaetis,10475,0,6.1
callibaetis,10475,0,5.5
callibaetis,10475,0,6.2
callibaetis,10475,0,5.8
callibaetis,10475,0,5.4
callibaetis,10475,0,5.9
callibaetis,10475,0,7.1
callibaetis,10475,0,5.2
callibaetis,10475,0,6.5
callibaetis,10475,0,6.7
callibaetis,10475,0,5.8
callibaetis,10475,0,3.8
callibaetis,10475,0,6.2
callibaetis,10475,0,4.8
callibaetis,10475,0,6.2
callibaetis,10475,0,3.9
callibaetis,10475,0,6.5
callibaetis,10475,0,4.8
callibaetis,10475,0,6.3
callibaetis,10475,0,5.9
callibaetis,10475,0,6.8
callibaetis,10475,0,5.5
callibaetis,10475,0,6.3
callibaetis,10475,0,5.7
callibaetis,10475,0,5.2
callibaetis,10475,0,6.5
callibaetis,10475,0,6.2
callibaetis,10475,0,6.3
callibaetis,10475,0,7.2
callibaetis,10475,0,5.2
callibaetis,10475,0,5.9
callibaetis,10475,0,6.1
callibaetis,10475,0,6.4
callibaetis,10475,0,6.5
callibaetis,10475,0,5.5
callibaetis,10475,0,6.1
callibaetis,10475,0,5
callibaetis,10475,0,6.7
callibaetis,10475,0,5.7
callibaetis,10475,0,5.3
callibaetis,10475,0,5.8
callibaetis,10475,0,3.5
callibaetis,10475,0,5.2
callibaetis,10475,0,5.9
callibaetis,10475,0,6.2
callibaetis,10475,0,3.4
callibaetis,10475,0,5.9
callibaetis,10475,0,5.2
callibaetis,10475,0,6.2
callibaetis,10475,0,4.7
callibaetis,10475,0,5
callibaetis,10475,0,5.1
callibaetis,10475,0,4.8
callibaetis,10475,0,6.1
callibaetis,10475,0,6
callibaetis,10475,0,6.1
callibaetis,10475,0,5.8
callibaetis,10475,0,6.9
callibaetis,10475,0,6.5
callibaetis,10475,0,7.1
callibaetis,10475,0,6.2
callibaetis,10475,0,5.9
callibaetis,10475,0,3.2
callibaetis,10475,0,5.5
callibaetis,10475,0,5.2
callibaetis,10475,0,5.6
callibaetis,10475,0,6.3
callibaetis,10475,0,5.8
callibaetis,10475,0,4.5
callibaetis,10475,0,6.3
callibaetis,10475,0,5.8
callibaetis,10475,0,6.6
callibaetis,10475,0,6.2
callibaetis,10475,0,6.5
callibaetis,10475,0,2.9
callibaetis,10475,0,3.1
callibaetis,10475,0,7
callibaetis,10475,0,6.5
callibaetis,10475,0,4.5
callibaetis,10475,0,3.1
callibaetis,10475,0,4.2
ameletus,10102,20,8.6
ameletus,10102,20,8.5
ameletus,10102,20,8.6
ameletus,10102,20,8
ameletus,10102,20,7.9
ameletus,10102,20,7.6
ameletus,10102,20,9.2
ameletus,10102,20,8.8
ameletus,10102,20,8.3
ameletus,10102,20,9
ameletus,10102,20,8.4
ameletus,10102,20,8.2
ameletus,10102,20,7.3
ameletus,10102,20,8.7
ameletus,10102,20,7.9
ameletus,10102,20,9
ameletus,10102,20,7.6
ameletus,10102,20,8.4
ameletus,10102,20,9.4
ameletus,10102,20,7.9
ameletus,10102,20,8.2
ameletus,10102,20,7.2
ameletus,10102,20,8.8
ameletus,10102,20,7.3
ameletus,10102,20,5.2
ameletus,10102,20,6.8
ameletus,10102,20,7.6
ameletus,10102,20,7.8
ameletus,10102,20,8
ameletus,10102,20,8.2
ameletus,10102,0,9
ameletus,10102,0,9.1
ameletus,10102,0,8.9
ameletus,10102,0,9.5
ameletus,10102,0,9.4
ameletus,10102,0,8.1
ameletus,10102,0,8.4
ameletus,10102,0,7.9
ameletus,10102,0,9.2
ameletus,10102,0,8.2
ameletus,10102,0,7.8
ameletus,10102,0,6.3
ameletus,10102,0,8.4
ameletus,10102,0,8.2
ameletus,10102,0,8.8
ameletus,10102,0,7.6
ameletus,10102,0,8.9
ameletus,10102,0,8.1
ameletus,10102,0,9.5
ameletus,10102,0,8.3
ameletus,10102,0,8.3
ameletus,10102,0,8.9
ameletus,10102,0,8.1
ameletus,10102,0,9.4
ameletus,10102,0,8.2
ameletus,10102,0,8.2
ameletus,10102,0,8.7
ameletus,10102,0,8.8
ameletus,10102,0,9.7
ameletus,10102,0,8.5
