TankNumber,SampleDate,Time,TadpoleDensity,SampleID,WaterSurfTemp,Nitrate,Nitrate_Nitrite,Nitrite,Ammonia,
4,15-Aug-10,16:59,16,TCS3189,22.1,0.08,0.36,0.28,4.83,
4,16-Aug-10,11:05,16,TCS3205,18.3,0.06,0.21,0.14,2.68,
4,17-Aug-10,11:22,16,TCS3234,20.5,0.08,0.27,0.20,3.25,
4,17-Aug-10,16:50,16,TCS3250,20.6,0.04,0.21,0.18,3.19,
5,14-Aug-10,12:13,0,TCS3142,18.4,0.06,0.14,0.08,0.46,
5,14-Aug-10,17:08,0,TCS3157,20.3,0.02,0.16,0.14,0.42,
5,15-Aug-10,11:21,0,TCS3174,18.2,0.06,0.23,0.17,0.35,
5,15-Aug-10,16:42,0,TCS3190,22.9,0.04,0.16,0.12,0.33,
5,16-Aug-10,10:39,0,TCS3206,18.4,0.04,0.14,0.10,0.02,
5,17-Aug-10,11:04,0,TCS3235,20,0.04,0.34,0.30,0.76,
5,17-Aug-10,16:33,0,TCS3251,20.6,0.03,0.17,0.14,0.22,
6,14-Aug-10,12:16,0,TCS3169,18.8,0.05,0.18,0.13,0.29,
6,14-Aug-10,17:06,0,TCS3158,20.4,0.06,0.23,0.17,0.49,
6,15-Aug-10,11:23,0,TCS3175,18.2,0.06,0.23,0.18,0.46,
6,15-Aug-10,16:36,0,TCS3191,23.2,0.06,0.16,0.10,0.27,
6,16-Aug-10,10:19,0,TCS3207,18.2,0.05,0.14,0.09,0.30,
6,17-Aug-10,10:50,0,TCS3236,20.5,0.07,0.18,0.11,0.52,
6,17-Aug-10,16:24,0,TCS3252,20.8,0.06,0.19,0.13,0.43,
7,14-Aug-10,11:22,16,TCS3143,18,0.05,0.16,0.10,0.42,
7,14-Aug-10,16:29,16,TCS3159,21.1,0.08,0.23,0.15,0.60,
7,15-Aug-10,10:59,16,TCS3176,18.1,0.07,0.27,0.20,0.49,
7,15-Aug-10,17:04,16,TCS3192,22.1,0.04,0.17,0.13,0.49,
7,16-Aug-10,11:01,16,TCS3208,18.6,0.04,0.15,0.11,0.70,
7,16-Aug-10,17:57,16,TCS3224,23.1,0.04,0.27,0.23,0.89,
7,17-Aug-10,11:27,16,TCS3237,20.6,0.07,0.21,0.14,0.73,
7,17-Aug-10,16:47,16,TCS3253,21.2,0.05,0.39,0.34,1.29,
8,14-Aug-10,12:21,16,TCS3144,20.3,0.04,0.22,0.18,1.52,
8,14-Aug-10,17:04,16,TCS3160,21.7,0.07,0.24,0.17,1.32,
8,15-Aug-10,11:25,16,TCS3177,19.1,0.07,0.25,0.19,1.72,
8,15-Aug-10,16:50,16,TCS3193,23.6,0.04,0.20,0.15,1.20,
8,16-Aug-10,10:51,16,TCS3209,18.9,0.05,0.17,0.12,0.93,
8,16-Aug-10,17:44,16,TCS3225,24.2,0.03,0.20,0.17,1.27,
8,17-Aug-10,11:11,16,TCS3238,20.9,0.07,0.68,0.60,2.55,
8,17-Aug-10,16:43,16,TCS3254,21.4,0.02,0.18,0.16,1.21,
9,14-Aug-10,11:27,0,TCS3145,18.3,0.02,0.17,0.15,0.25,
9,14-Aug-10,16:34,0,TCS3161,21.1,0.09,0.22,0.13,0.76,
9,15-Aug-10,11:01,0,TCS3178,18.4,0.04,0.23,0.18,0.41,
9,15-Aug-10,16:45,0,TCS3194,21.8,0.05,0.16,0.11,0.42,
9,16-Aug-10,10:31,0,TCS3210,18.5,0.05,0.13,0.09,0.25,
9,16-Aug-10,17:28,0,TCS3226,23.4,0.02,0.16,0.15,0.30,
9,17-Aug-10,11:02,0,TCS3239,20.1,0.04,0.17,0.13,0.33,
9,17-Aug-10,16:31,0,TCS3255,21.4,0.04,0.14,0.09,0.50,
10,14-Aug-10,12:05,16,TCS3146,18.4,0.04,0.17,0.13,0.42,
10,14-Aug-10,16:55,16,TCS3162,20.6,0.09,0.25,0.16,1.41,
10,15-Aug-10,11:18,16,TCS3179,18.3,0.07,0.23,0.16,0.56,
10,15-Aug-10,16:51,16,TCS3195,22.3,0.05,0.14,0.09,0.39,
10,16-Aug-10,10:54,16,TCS3211,18.4,0.04,0.15,0.11,0.48,
10,16-Aug-10,17:48,16,TCS3227,22.8,0.03,0.17,0.14,0.40,
10,17-Aug-10,11:13,16,TCS3240,20.1,0.04,0.17,0.13,0.54,
10,17-Aug-10,16:44,16,TCS3256,21,0.05,0.15,0.10,0.60,
11,14-Aug-10,11:32,16,TCS3147,18.2,0.05,0.19,0.14,1.77,
11,14-Aug-10,16:36,16,TCS3163,20.6,0.06,0.23,0.17,1.03,
11,15-Aug-10,11:03,16,TCS3180,18.4,0.04,0.25,0.21,1.42,
11,15-Aug-10,17:06,16,TCS3196,22.4,0.05,0.14,0.09,0.89,
11,16-Aug-10,10:59,16,TCS3212,18.8,0.04,0.18,0.14,0.91,
11,16-Aug-10,18:02,16,TCS3228,23.2,0.02,0.18,0.17,1.97,
11,17-Aug-10,11:30,16,TCS3241,20.1,0.05,0.19,0.14,1.49,
11,17-Aug-10,16:49,16,TCS3257,21.3,0.02,0.18,0.15,1.01,
12,14-Aug-10,12:02,0,TCS3148,18.3,0.10,0.20,0.10,0.51,
12,14-Aug-10,16:54,0,TCS3164,20.6,0.07,0.23,0.16,1.02,
12,15-Aug-10,11:17,0,TCS3181,18.1,0.07,0.26,0.19,0.49,
12,15-Aug-10,16:38,0,TCS3197,23.3,0.05,0.15,0.11,0.29,
12,16-Aug-10,10:23,0,TCS3213,18.2,0.04,0.13,0.09,0.11,
12,16-Aug-10,17:20,0,TCS3229,23.8,0.04,0.15,0.11,0.32,
12,17-Aug-10,10:52,0,TCS3242,19.9,0.04,0.15,0.11,0.17,
12,17-Aug-10,16:26,0,TCS3258,21,0.05,0.16,0.11,0.35,
13,14-Aug-10,11:46,16,TCS3149,18.5,0.08,0.20,0.12,1.00,
13,14-Aug-10,16:52,16,TCS3165,22.7,0.04,0.26,0.22,1.50,
13,15-Aug-10,11:15,16,TCS3182,18.6,0.07,0.21,0.14,1.34,
13,15-Aug-10,17:02,16,TCS3198,23.2,0.06,0.19,0.13,1.16,
13,16-Aug-10,11:08,16,TCS3214,18.8,0.07,0.18,0.11,0.89,
13,16-Aug-10,18:04,16,TCS3230,23.3,0.06,0.18,0.12,0.77,
13,17-Aug-10,11:25,16,TCS3243,20.6,0.04,0.16,0.11,0.98,
13,17-Aug-10,16:52,16,TCS3259,21.4,0.06,0.16,0.10,1.14,
14,14-Aug-10,11:35,16,TCS3150,18.7,0.06,0.19,0.13,1.58,
14,14-Aug-10,16:38,16,TCS3166,21.1,0.07,0.26,0.18,1.69,
14,15-Aug-10,11:05,16,TCS3183,18.7,0.07,0.26,0.19,1.62,
14,15-Aug-10,16:57,16,TCS3199,23.3,0.06,0.19,0.13,1.49,
14,16-Aug-10,10:43,16,TCS3215,18.8,0.07,0.22,0.16,1.46,
14,16-Aug-10,17:41,16,TCS3231,23.8,0.07,0.20,0.13,2.61,
14,17-Aug-10,11:19,16,TCS3244,20.6,0.04,0.20,0.16,1.83,
14,17-Aug-10,16:40,16,TCS3260,21.5,0.05,0.19,0.14,1.58,
15,14-Aug-10,11:39,0,TCS3151,18.6,0.04,0.17,0.13,0.38,
15,14-Aug-10,16:43,0,TCS3167,20.8,0.07,0.29,0.22,1.10,
15,15-Aug-10,11:06,0,TCS3184,18.7,0.07,0.30,0.24,0.44,
15,15-Aug-10,16:35,0,TCS3200,23.5,0.06,0.16,0.11,0.44,
15,16-Aug-10,10:15,0,TCS3216,18.7,0.05,0.14,0.09,0.45,
15,16-Aug-10,17:13,0,TCS3232,24.8,0.05,0.15,0.10,0.35,
15,17-Aug-10,10:44,0,TCS3245,20.6,0.01,0.16,0.14,0.49,
15,17-Aug-10,16:21,0,TCS3261,21.5,0.02,0.17,0.15,0.76,
16,14-Aug-10,11:43,0,TCS3152,19.3,0.02,0.14,0.12,0.31,
16,14-Aug-10,16:48,0,TCS3168,21.8,0.07,0.21,0.14,0.52,
16,15-Aug-10,11:12,0,TCS3185,19.2,0.05,0.27,0.22,0.37,
16,16-Aug-10,10:34,0,TCS3217,19.1,0.05,0.13,0.08,0.39,
16,16-Aug-10,17:34,0,TCS3233,24.4,0.04,0.15,0.11,0.40,
16,17-Aug-10,11:08,0,TCS3246,20.9,0.03,0.17,0.14,0.53,
16,17-Aug-10,16:35,0,TCS3262,21.8,0.05,0.16,0.11,0.67,
,,,,,,0.06,0.16,0.09,0.38,
,,,,,,,,,,
,,,,,,,,,,
