TankNumber,SampleDate,SampleNumber,SubstrateType,TileNumber,FilterNumber,FilterWt,DryWt,AshedWt,AFDM,FilterVol,AFDMadjbyVol,GrowthPeriod,AFDMadjPerMperD,TadpolePDensity,MFDensity,FinalMFCount,Treatment
12,7/24/2010,S0,BottomTile,2,1,0.1248,0.265,0.2383,0.0267,60,0.000445,93,4.78E-06,0,0,0,none
12,7/24/2010,S0,BottomTile,3,1,0.1245,0.3002,0.269,0.0312,60,0.00052,93,5.59E-06,0,0,0,none
13,7/24/2010,S0,BottomTile,1,1,0.1249,0.2789,0.2508,0.0281,60,0.000468333,93,5.04E-06,16,250,48,both
13,7/24/2010,S0,BottomTile,2,1,0.1244,0.3826,0.3455,0.0371,60,0.000618333,93,6.65E-06,16,250,48,both
13,7/24/2010,S0,BottomTile,3,1,0.1244,0.3662,0.333,0.0332,60,0.000553333,93,5.95E-06,16,250,48,both
14,7/25/2010,S0,BottomTile,1,1,0.1178,0.1858,0.1684,0.0174,60,0.00029,94,3.09E-06,16,0,0,tadpoles
14,7/25/2010,S0,BottomTile,2,1,0.124,0.1915,0.1739,0.0176,60,0.000293333,94,3.12E-06,16,0,0,tadpoles
14,7/25/2010,S0,BottomTile,3,1,0.1234,0.2078,0.19,0.0178,60,0.000296667,94,3.16E-06,16,0,0,tadpoles
15,7/25/2010,S0,BottomTile,1,1,0.1246,0.3463,0.3096,0.0367,60,0.000611667,94,6.51E-06,0,0,0,none
15,7/25/2010,S0,BottomTile,2,1,0.1207,0.4601,0.4149,0.0452,60,0.000753333,94,8.01E-06,0,0,0,none
15,7/25/2010,S0,BottomTile,3,1,0.1216,0.3942,0.3543,0.0399,60,0.000665,94,7.07E-06,0,0,0,none
16,7/25/2010,S0,BottomTile,1,1,0.1203,0.2205,0.205,0.0155,60,0.000258333,94,2.75E-06,0,250,0,mayflies
16,7/25/2010,S0,BottomTile,2,1,0.1196,0.2006,0.1842,0.0164,60,0.000273333,94,2.91E-06,0,250,0,mayflies
16,7/25/2010,S0,BottomTile,3,1,0.1187,0.2048,0.1872,0.0176,60,0.000293333,94,3.12E-06,0,250,0,mayflies
