TankNumber,TileNumber,SampleDate,FilterWt,DryWt,AshedWt,AFDM,IM,GrowthPeriod,AFDMperMperD,IMperMperD
4,5,7/9/2010,0.124,0.1268,0.1257,0.0011,0.0017,3,0.057760975,0.089266961
4,5,7/10/2010,0.1216,0.1258,0.1232,0.0026,0.0016,4,0.102394455,0.063011972
4,5,7/11/2010,0.1273,0.1326,0.13,0.0026,0.0027,5,0.081915564,0.085066163
7,1,7/7/2010,0.1205,0.1247,0.1232,0.0015,0.0027,1,0.236294896,0.425330813
7,1,7/8/2010,0.1207,0.1241,0.1227,0.0014,0.002,2,0.110270951,0.157529931
7,1,7/9/2010,0.1193,0.1233,0.1221,0.0012,0.0028,3,0.063011972,0.147027935
7,1,7/10/2010,0.1205,0.1227,0.121,0.0017,0.0005,4,0.066950221,0.019691241
7,1,7/11/2010,0.1262,0.1413,0.1387,0.0026,0.0125,5,0.081915564,0.393824827
7,2,7/7/2010,0.1199,0.121,0.1202,0.0008,0.0003,1,0.126023945,0.047258979
7,2,7/8/2010,0.12,0.1248,0.1239,0.0009,0.0039,2,0.070888469,0.307183365
7,2,7/9/2010,0.1249,0.1316,0.1291,0.0025,0.0042,3,0.131274942,0.220541903
7,2,7/11/2010,0.1254,0.1313,0.1292,0.0021,0.0038,5,0.066162571,0.119722747
7,3,7/7/2010,0.1197,0.1235,0.1222,0.0013,0.0025,1,0.20478891,0.393824827
7,3,7/8/2010,0.1266,0.1282,0.1269,0.0013,0.0003,2,0.102394455,0.02362949
7,3,7/9/2010,0.1247,0.128,0.127,0.001,0.0023,3,0.052509977,0.120772947
7,3,7/11/2010,0.1261,0.1331,0.1306,0.0025,0.0045,5,0.078764965,0.141776938
7,4,7/7/2010,0.1183,0.1224,0.1212,0.0012,0.0029,1,0.189035917,0.456836799
7,4,7/8/2010,0.1249,0.1284,0.1272,0.0012,0.0023,2,0.094517958,0.18115942
7,4,7/9/2010,0.125,0.1261,0.1252,0.0009,0.0002,3,0.047258979,0.010501995
7,4,7/11/2010,0.1255,0.1309,0.1287,0.0022,0.0032,5,0.06931317,0.100819156
7,5,7/7/2010,0.1206,0.1235,0.1221,0.0014,0.0015,1,0.220541903,0.236294896
7,5,7/8/2010,0.123,0.1263,0.1252,0.0011,0.0022,2,0.086641462,0.173282924
7,5,7/9/2010,0.1204,0.1242,0.1226,0.0016,0.0022,3,0.084015963,0.115521949
7,5,7/10/2010,0.1191,0.1228,0.1219,0.0009,0.0028,4,0.035444234,0.110270951
7,5,7/11/2010,0.1252,0.1317,0.1292,0.0025,0.004,5,0.078764965,0.126023945
