"TankNumber","TileNumber","SampleDate","SampleNumber","SubstrateType","FilterNumber","FilterWt","DryWt","AshedWt","AFDM","FilterVol","AFDMadjbyVol","GrowthPeriod","AFDMadjPerMperD","TadpolePDensity","MFDensity","FinalMFCount","Treatment"
2,16,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.16,0.16,2.4e-03,60,2.4e-03,20,0.01,0,250,0,"mayflies"
2,18,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.19,0.17,0.02,59,0.02,5,0.65,0,250,0,"mayflies"
2,20,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.17,0.15,0.01,60,0.01,20,0.10,0,250,0,"mayflies"
2,22,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,4.1e-03,60,4.1e-03,21,0.03,0,250,0,"mayflies"
2,25,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.16,0.15,0.01,59,0.01,20,0.10,0,250,0,"mayflies"
3,4,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,2.4e-03,60,2.4e-03,22,0.01,16,0,0,"tadpoles"
3,5,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,2.5e-03,30,5.0e-03,22,0.03,16,0,0,"tadpoles"
3,7,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,3.5e-03,60,3.5e-03,20,0.02,16,0,0,"tadpoles"
3,10,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,3.7e-03,60,3.7e-03,22,0.02,16,0,0,"tadpoles"
3,11,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,2.7e-03,60,2.7e-03,22,0.01,16,0,0,"tadpoles"
3,12,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,2.7e-03,60,2.7e-03,22,0.01,16,0,0,"tadpoles"
3,13,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,2.6e-03,60,2.6e-03,20,0.02,16,0,0,"tadpoles"
3,14,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,5.1e-03,60,5.1e-03,20,0.04,16,0,0,"tadpoles"
3,17,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,2.3e-03,60,2.3e-03,20,0.01,16,0,0,"tadpoles"
3,18,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.12,2.2e-03,60,2.2e-03,20,0.01,16,0,0,"tadpoles"
3,19,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.14,0.13,4.3e-03,60,4.3e-03,20,0.03,16,0,0,"tadpoles"
3,21,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,4.6e-03,60,4.6e-03,20,0.03,16,0,0,"tadpoles"
3,22,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.14,0.14,4.1e-03,60,4.1e-03,20,0.03,16,0,0,"tadpoles"
3,23,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,3.6e-03,60,3.6e-03,20,0.02,16,0,0,"tadpoles"
3,25,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.12,2.7e-03,60,2.7e-03,20,0.02,16,0,0,"tadpoles"
4,2,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.21,0.18,0.02,60,0.02,22,0.18,16,250,18,"both"
4,3,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,4.0e-03,60,4.0e-03,21,0.03,16,250,18,"both"
4,4,8/17/2010 0:00:00,"S3","BottomTile",2,0.12,0.22,0.19,0.02,60,0.02,22,0.19,16,250,18,"both"
4,5,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.22,0.20,0.02,60,0.02,22,0.19,16,250,18,"both"
4,6,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.21,0.18,0.02,59,0.02,22,0.18,16,250,18,"both"
4,6,8/17/2010 0:00:00,"S3","BottomTile",2,0.12,0.13,0.13,3.3e-03,60,3.3e-03,22,0.02,16,250,18,"both"
4,7,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.22,0.19,0.02,60,0.02,5,0.78,16,250,18,"both"
4,9,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.20,0.18,0.01,30,0.03,22,0.27,16,250,18,"both"
4,10,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.19,0.18,0.01,60,0.01,21,0.13,16,250,18,"both"
4,13,8/17/2010 0:00:00,"S3","BottomTile",2,0.12,0.13,0.12,2.6e-03,60,2.6e-03,22,0.01,16,250,18,"both"
4,13,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.19,0.17,0.01,60,0.01,22,0.12,16,250,18,"both"
4,18,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.20,0.18,0.02,60,0.02,22,0.17,16,250,18,"both"
4,19,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.21,0.18,0.02,60,0.02,22,0.17,16,250,18,"both"
4,23,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.25,0.22,0.03,60,0.03,5,1.10,16,250,18,"both"
4,24,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.18,0.16,0.01,60,0.01,22,0.13,16,250,18,"both"
4,25,8/17/2010 0:00:00,"S3","BottomTile",2,0.12,0.14,0.13,7.7e-03,60,7.7e-03,22,0.05,16,250,18,"both"
4,25,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.20,0.18,0.01,60,0.01,22,0.13,16,250,18,"both"
5,2,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,3.3e-03,60,3.3e-03,22,0.02,0,250,121,"mayflies"
5,3,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.16,0.15,0.01,60,0.01,21,0.08,0,250,121,"mayflies"
5,5,8/16/2010 0:00:00,"S3","BottomTile",2,0.12,0.14,0.14,8.5e-03,60,8.5e-03,21,0.06,0,250,121,"mayflies"
5,5,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.19,0.17,0.01,59,0.01,21,0.14,0,250,121,"mayflies"
5,7,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.15,0.14,8.1e-03,60,8.1e-03,21,0.06,0,250,121,"mayflies"
5,8,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.16,0.15,0.01,60,0.01,21,0.08,0,250,121,"mayflies"
5,9,8/16/2010 0:00:00,"S3","BottomTile",2,0.12,0.14,0.13,4.9e-03,60,4.9e-03,21,0.03,0,250,121,"mayflies"
5,9,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.17,0.16,0.01,60,0.01,21,0.12,0,250,121,"mayflies"
5,12,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,3.6e-03,60,3.6e-03,7,0.08,0,250,121,"mayflies"
5,14,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.17,0.16,0.01,30,0.02,22,0.19,0,250,121,"mayflies"
5,15,8/17/2010 0:00:00,"S3","BottomTile",2,0.12,0.15,0.14,7.9e-03,60,7.9e-03,22,0.05,0,250,121,"mayflies"
5,15,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.18,0.17,0.01,60,0.01,22,0.09,0,250,121,"mayflies"
5,19,8/16/2010 0:00:00,"S3","BottomTile",2,0.12,0.13,0.12,3.2e-03,60,3.2e-03,21,0.02,0,250,121,"mayflies"
5,19,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.19,0.17,0.01,60,0.01,21,0.14,0,250,121,"mayflies"
5,20,8/17/2010 0:00:00,"S3","BottomTile",2,0.12,0.15,0.14,0.01,60,0.01,22,0.08,0,250,121,"mayflies"
5,20,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.21,0.19,0.02,60,0.02,22,0.15,0,250,121,"mayflies"
5,21,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.15,0.14,8.9e-03,60,8.9e-03,21,0.06,0,250,121,"mayflies"
5,22,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,3.3e-03,60,3.3e-03,21,0.02,0,250,121,"mayflies"
5,23,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.21,0.19,0.02,60,0.02,21,0.17,0,250,121,"mayflies"
5,23,8/16/2010 0:00:00,"S3","BottomTile",2,0.12,0.14,0.13,6.1e-03,60,6.1e-03,21,0.04,0,250,121,"mayflies"
5,25,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.15,0.15,8.1e-03,60,8.1e-03,22,0.05,0,250,121,"mayflies"
6,1,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.18,0.16,0.01,60,0.01,22,0.12,0,0,0,"none"
6,1,8/17/2010 0:00:00,"S3","BottomTile",2,0.12,0.17,0.16,0.01,60,0.01,22,0.12,0,0,0,"none"
6,2,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,3.0e-03,60,3.0e-03,21,0.02,0,0,0,"none"
6,4,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.14,0.14,6.9e-03,60,6.9e-03,21,0.05,0,0,0,"none"
6,5,8/17/2010 0:00:00,"S3","BottomTile",2,0.12,0.15,0.14,0.01,60,0.01,22,0.08,0,0,0,"none"
6,5,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.17,0.16,0.01,60,0.01,22,0.11,0,0,0,"none"
6,5,8/17/2010 0:00:00,"S3","BottomTile",3,0.12,0.13,0.12,2.8e-03,60,2.8e-03,22,0.02,0,0,0,"none"
6,7,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.14,0.13,5.0e-03,60,5.0e-03,22,0.03,0,0,0,"none"
6,8,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.14,0.14,8.4e-03,30,0.01,22,0.12,0,0,0,"none"
6,10,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.17,0.16,0.01,60,0.01,21,0.10,0,0,0,"none"
6,11,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.16,0.15,0.01,60,0.01,21,0.08,0,0,0,"none"
6,12,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.18,0.17,0.01,60,0.01,21,0.13,0,0,0,"none"
6,12,8/17/2010 0:00:00,"S3","BottomTile",3,0.12,0.15,0.14,8.2e-03,60,8.2e-03,21,0.06,0,0,0,"none"
6,12,8/17/2010 0:00:00,"S3","BottomTile",2,0.12,0.16,0.15,0.01,60,0.01,21,0.11,0,0,0,"none"
6,13,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.14,0.14,6.6e-03,60,6.6e-03,5,0.20,0,0,0,"none"
6,14,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.15,0.14,8.2e-03,60,8.2e-03,21,0.06,0,0,0,"none"
6,18,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.15,0.14,9.6e-03,60,9.6e-03,21,0.07,0,0,0,"none"
6,19,8/17/2010 0:00:00,"S3","BottomTile",2,0.12,0.13,0.13,4.8e-03,60,4.8e-03,22,0.03,0,0,0,"none"
6,19,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.16,0.15,0.01,60,0.01,22,0.10,0,0,0,"none"
6,25,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.14,0.13,5.2e-03,60,5.2e-03,21,0.03,0,0,0,"none"
6,26,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.14,0.13,3.5e-03,60,3.5e-03,5,0.11,0,0,0,"none"
6,28,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,2.1e-03,60,2.1e-03,5,0.06,0,0,0,"none"
6,29,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.12,3.2e-03,60,3.2e-03,5,0.10,0,0,0,"none"
7,1,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.12,0.12,1.6e-03,60,1.6e-03,3,0.08,16,250,100,"both"
7,2,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.14,0.14,4.5e-03,60,4.5e-03,14,0.05,16,250,100,"both"
7,3,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,3.2e-03,60,3.2e-03,12,0.04,16,250,100,"both"
7,7,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.12,0.12,1.5e-03,60,1.5e-03,20,0.01,16,250,100,"both"
7,8,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,2.7e-03,60,2.7e-03,20,0.02,16,250,100,"both"
7,9,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,3.2e-03,60,3.2e-03,20,0.02,16,250,100,"both"
7,10,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,1.9e-03,60,1.9e-03,20,0.01,16,250,100,"both"
7,12,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.12,7.1e-03,60,7.1e-03,5,0.22,16,250,100,"both"
7,14,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,2.5e-03,60,2.5e-03,20,0.01,16,250,100,"both"
7,15,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,1.7e-03,60,1.7e-03,20,0.01,16,250,100,"both"
7,16,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,2.6e-03,60,2.6e-03,20,0.02,16,250,100,"both"
7,18,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.12,0.12,1.3e-03,60,1.3e-03,20,0.01,16,250,100,"both"
7,22,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,2.4e-03,60,2.4e-03,6,0.06,16,250,100,"both"
7,23,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.14,0.13,2.7e-03,60,2.7e-03,22,0.01,16,250,100,"both"
7,25,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,2.4e-03,60,2.4e-03,20,0.01,16,250,100,"both"
8,2,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.15,0.15,6.7e-03,60,6.7e-03,22,0.04,16,0,0,"tadpoles"
8,3,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.27,0.24,0.02,60,0.02,22,0.16,16,0,0,"tadpoles"
8,3,8/17/2010 0:00:00,"S3","BottomTile",2,0.12,0.13,0.13,2.3e-03,60,2.3e-03,22,0.01,16,0,0,"tadpoles"
8,6,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.12,0.12,1.1e-03,30,2.2e-03,22,0.01,16,0,0,"tadpoles"
8,7,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,2.7e-03,60,2.7e-03,22,0.01,16,0,0,"tadpoles"
8,9,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,3.4e-03,60,3.4e-03,22,0.02,16,0,0,"tadpoles"
8,10,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,2.8e-03,60,2.8e-03,22,0.02,16,0,0,"tadpoles"
8,11,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,3.2e-03,60,3.2e-03,22,0.02,16,0,0,"tadpoles"
8,12,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,2.3e-03,60,2.3e-03,22,0.01,16,0,0,"tadpoles"
8,14,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,3.7e-03,60,3.7e-03,22,0.02,16,0,0,"tadpoles"
8,15,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,3.0e-03,60,3.0e-03,5,0.09,16,0,0,"tadpoles"
8,18,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,4.1e-03,60,4.1e-03,22,0.02,16,0,0,"tadpoles"
8,20,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,3.5e-03,60,3.5e-03,22,0.02,16,0,0,"tadpoles"
8,21,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,3.9e-03,60,3.9e-03,22,0.02,16,0,0,"tadpoles"
8,23,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,2.7e-03,60,2.7e-03,22,0.01,16,0,0,"tadpoles"
8,24,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,2.2e-03,60,2.2e-03,22,0.01,16,0,0,"tadpoles"
9,1,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.16,0.14,0.01,60,0.01,20,0.09,0,250,76,"mayflies"
9,4,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.16,0.14,0.01,60,0.01,20,0.11,0,250,76,"mayflies"
9,5,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.17,0.15,0.01,60,0.01,20,0.12,0,250,76,"mayflies"
9,7,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.17,0.16,0.01,30,0.02,22,0.18,0,250,76,"mayflies"
9,8,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.16,0.14,0.01,60,0.01,20,0.11,0,250,76,"mayflies"
9,9,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.15,0.13,0.01,60,0.01,20,0.11,0,250,76,"mayflies"
9,11,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.16,0.15,0.01,60,0.01,20,0.11,0,250,76,"mayflies"
9,12,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.15,0.14,0.01,60,0.01,20,0.09,0,250,76,"mayflies"
9,15,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.16,0.15,0.01,60,0.01,20,0.13,0,250,76,"mayflies"
9,16,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.15,0.14,0.01,60,0.01,22,0.08,0,250,76,"mayflies"
9,19,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.16,0.14,0.01,60,0.01,20,0.10,0,250,76,"mayflies"
9,21,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.17,0.15,0.01,60,0.01,22,0.10,0,250,76,"mayflies"
9,22,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.14,0.13,6.9e-03,60,6.9e-03,3,0.36,0,250,76,"mayflies"
9,23,8/17/2010 0:00:00,"S3","BottomTile",2,0.12,0.16,0.14,0.01,60,0.01,22,0.10,0,250,76,"mayflies"
9,23,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.17,0.15,0.01,60,0.01,22,0.12,0,250,76,"mayflies"
10,1,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,4.3e-03,60,4.3e-03,21,0.03,16,0,0,"tadpoles"
10,3,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.12,0.12,2.0e-03,30,4.0e-03,22,0.02,16,0,0,"tadpoles"
10,4,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.12,1.8e-03,60,1.8e-03,21,0.01,16,0,0,"tadpoles"
10,6,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.12,3.0e-03,60,3.0e-03,21,0.02,16,0,0,"tadpoles"
10,8,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.12,0.12,2.3e-03,60,2.3e-03,21,0.01,16,0,0,"tadpoles"
10,9,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.12,3.5e-03,60,3.5e-03,21,0.02,16,0,0,"tadpoles"
10,11,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.12,0.12,1.8e-03,60,1.8e-03,22,0.01,16,0,0,"tadpoles"
10,12,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,3.7e-03,60,3.7e-03,22,0.02,16,0,0,"tadpoles"
10,13,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.12,2.2e-03,60,2.2e-03,22,0.01,16,0,0,"tadpoles"
10,15,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.12,0.12,2.0e-03,60,2.0e-03,22,0.01,16,0,0,"tadpoles"
10,17,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.12,0.12,1.9e-03,60,1.9e-03,7,0.04,16,0,0,"tadpoles"
10,19,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,3.8e-03,60,3.8e-03,21,0.02,16,0,0,"tadpoles"
10,20,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,3.6e-03,60,3.6e-03,21,0.02,16,0,0,"tadpoles"
10,25,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,3.8e-03,60,3.8e-03,22,0.02,16,0,0,"tadpoles"
11,3,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.14,0.13,4.6e-03,60,4.6e-03,3,0.24,16,250,7,"both"
11,5,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.15,0.14,6.7e-03,60,6.7e-03,22,0.04,16,250,7,"both"
11,6,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,3.7e-03,60,3.7e-03,20,0.02,16,250,7,"both"
11,7,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.14,0.13,6.1e-03,60,6.1e-03,22,0.04,16,250,7,"both"
11,9,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,3.3e-03,60,3.3e-03,3,0.17,16,250,7,"both"
11,10,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,2.9e-03,30,5.8e-03,22,0.04,16,250,7,"both"
11,11,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,4.2e-03,60,4.2e-03,20,0.03,16,250,7,"both"
11,16,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.14,0.14,5.7e-03,60,5.7e-03,6,0.14,16,250,7,"both"
11,17,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,3.8e-03,60,3.8e-03,20,0.02,16,250,7,"both"
11,19,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.12,0.12,1.7e-03,60,1.7e-03,20,0.01,16,250,7,"both"
11,21,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.13,3.6e-03,60,3.6e-03,20,0.02,16,250,7,"both"
11,24,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.15,0.14,8.0e-03,60,8.0e-03,6,0.21,16,250,7,"both"
11,25,8/15/2010 0:00:00,"S3","BottomTile",1,0.12,0.13,0.12,2.9e-03,60,2.9e-03,20,0.02,16,250,7,"both"
12,2,8/16/2010 0:00:00,"S3","BottomTile",2,0.12,0.15,0.14,8.5e-03,60,8.5e-03,21,0.06,0,0,0,"none"
12,2,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.19,0.17,0.02,60,0.02,21,0.16,0,0,0,"none"
12,3,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.19,0.17,0.02,60,0.02,21,0.16,0,0,0,"none"
12,4,8/16/2010 0:00:00,"S3","BottomTile",2,0.12,0.15,0.14,0.01,60,0.01,21,0.07,0,0,0,"none"
12,4,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.21,0.18,0.02,60,0.02,21,0.18,0,0,0,"none"
12,5,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.16,0.14,0.01,60,0.01,22,0.08,0,0,0,"none"
12,6,8/17/2010 0:00:00,"S3","BottomTile",1,0.12,0.16,0.15,0.01,60,0.01,6,0.37,0,0,0,"none"
12,7,8/16/2010 0:00:00,"S3","BottomTile",1,0.12,0.19,0.17,0.02,60,0.02,21,0.16,0,0,0,"none"
