"TankNumber","TileNumber","SampleDate","FilterWt","DryWt","AshedWt","AFDM","GrowthPeriod"
"13",4,7/10/2010 0:00:00,0.12,0.12,0.12,,4
"13",4,7/11/2010 0:00:00,0.12,0.13,0.12,,5
"13",5,7/7/2010 0:00:00,0.11,0.12,0.11,,1
"13",5,7/8/2010 0:00:00,0.12,0.12,0.12,,2
"13",5,7/9/2010 0:00:00,0.12,0.12,0.12,,3
"13",5,7/10/2010 0:00:00,0.12,0.12,0.12,,4
"13",5,7/11/2010 0:00:00,0.12,0.12,0.12,,5
"13",4,7/9/2010 0:00:00,0.12,0.12,0.12,,3
"4",1,7/7/2010 0:00:00,0.11,0.11,0.11,,1
"4",1,7/8/2010 0:00:00,0.12,0.12,0.12,,2
"4",1,7/9/2010 0:00:00,0.11,0.12,0.12,,3
"4",1,7/10/2010 0:00:00,0.12,0.12,0.12,,4
"4",1,7/11/2010 0:00:00,0.12,0.12,0.12,,5
"4",2,7/7/2010 0:00:00,0.11,0.12,0.11,,1
"4",2,7/8/2010 0:00:00,0.12,0.12,0.12,,2
"4",2,7/9/2010 0:00:00,0.12,0.12,0.12,,3
"4",2,7/10/2010 0:00:00,0.12,0.12,0.12,,4
"4",2,7/11/2010 0:00:00,0.12,0.12,0.12,,5
"4",3,7/7/2010 0:00:00,0.11,0.11,0.11,,1
"4",3,7/8/2010 0:00:00,0.12,0.12,0.12,,2
"4",3,7/9/2010 0:00:00,0.12,0.12,0.12,,3
"4",3,7/9/2010 0:00:00,0.12,0.12,0.12,,3
"4",3,7/10/2010 0:00:00,0.11,0.12,0.12,,4
"4",3,7/11/2010 0:00:00,0.12,0.12,0.12,,5
"4",4,7/7/2010 0:00:00,0.11,0.11,0.11,,1
"4",4,7/8/2010 0:00:00,0.12,0.12,0.12,,2
"4",4,7/9/2010 0:00:00,0.12,0.13,0.12,,3
"4",4,7/10/2010 0:00:00,0.12,0.12,0.12,,4
"4",4,7/11/2010 0:00:00,0.12,0.12,0.12,,5
"4",5,7/7/2010 0:00:00,0.11,0.12,0.12,,1
"4",5,7/8/2010 0:00:00,0.12,0.12,0.12,,2
"4",5,7/9/2010 0:00:00,0.12,0.12,0.12,,3
"4",5,7/10/2010 0:00:00,0.12,0.12,0.12,,4
"4",5,7/11/2010 0:00:00,0.12,0.13,0.13,,5
"7",1,7/7/2010 0:00:00,0.12,0.12,0.12,,1
"7",1,7/8/2010 0:00:00,0.12,0.12,0.12,,2
"7",1,7/9/2010 0:00:00,0.11,0.12,0.12,,3
"7",1,7/10/2010 0:00:00,0.12,0.12,0.12,,4
"7",1,7/11/2010 0:00:00,0.12,0.14,0.13,,5
"7",2,7/7/2010 0:00:00,0.11,0.12,0.12,,1
"7",2,7/8/2010 0:00:00,0.12,0.12,0.12,,2
"7",2,7/9/2010 0:00:00,0.12,0.13,0.12,,3
"7",2,7/11/2010 0:00:00,0.12,0.13,0.12,,5
"7",3,7/7/2010 0:00:00,0.11,0.12,0.12,,1
"7",3,7/8/2010 0:00:00,0.12,0.12,0.12,,2
"7",3,7/9/2010 0:00:00,0.12,0.12,0.12,,3
"7",3,7/11/2010 0:00:00,0.12,0.13,0.13,,5
"7",4,7/7/2010 0:00:00,0.11,0.12,0.12,,1
"7",4,7/8/2010 0:00:00,0.12,0.12,0.12,,2
"7",4,7/9/2010 0:00:00,0.12,0.12,0.12,,3
"7",4,7/11/2010 0:00:00,0.12,0.13,0.12,,5
"7",5,7/7/2010 0:00:00,0.12,0.12,0.12,,1
"7",5,7/8/2010 0:00:00,0.12,0.12,0.12,,2
"7",5,7/9/2010 0:00:00,0.12,0.12,0.12,,3
"7",5,7/10/2010 0:00:00,0.11,0.12,0.12,,4
"7",5,7/11/2010 0:00:00,0.12,0.13,0.12,,5
