LakeID,SampleDate,CageID,AlgWeight,DaysSinPrevSamp,AlgWtperM^2,AlgGroRate,AGRperM^2,TadDens,MFDens
10102,9/12/2009,11,0.0031,19,0.244171393,0.000163158,0.012851126,0,0
10102,9/12/2009,12,0.002,19,0.157529931,0.000105263,0.008291049,10,0
10102,9/12/2009,13,0.0007,19,0.055135476,3.68421E-05,0.002901867,2,250
10102,9/12/2009,14,0.0013,19,0.102394455,6.84211E-05,0.005389182,10,250
10102,9/12/2009,15,0.0054,19,0.425330813,0.000284211,0.022385832,0,0
10102,9/12/2009,16,0.0058,19,0.456836799,0.000305263,0.024044042,0,25
10102,9/12/2009,17,0.0026,19,0.20478891,0.000136842,0.010778364,10,25
10475,8/13/2009,1,0.004,23,0.315059861,0.000173913,0.013698255,20,250
10475,8/13/2009,2,0.0043,23,0.338689351,0.000186957,0.014725624,20,25
10475,8/13/2009,3,0.0037,23,0.291430372,0.00016087,0.012670886,2,125
10475,8/13/2009,4,0.014,23,1.102709515,0.000608696,0.047943892,2,250
10475,8/13/2009,5,0.002,23,0.157529931,8.69565E-05,0.006849127,20,125
10475,8/13/2009,6,0.0918,23,7.230623819,0.003991304,0.314374949,0,0
10475,8/13/2009,7,0.0398,23,3.134845621,0.001730435,0.136297636,10,25
10475,8/13/2009,8,0.0181,23,1.425645873,0.000786957,0.061984603,0,250
10475,8/13/2009,9,0.0027,23,0.212665406,0.000117391,0.009246322,0,125
10475,8/13/2009,10,0.0018,23,0.141776938,7.82609E-05,0.006164215,2,0
10475,8/13/2009,11,0.0025,23,0.196912413,0.000108696,0.008561409,10,125
10475,8/13/2009,12,0.0051,23,0.401701323,0.000221739,0.017465275,0,25
10475,8/13/2009,13,0.0155,23,1.220856963,0.000673913,0.053080738,10,0
10475,8/13/2009,14,0.0071,23,0.559231254,0.000308696,0.024314402,0,0
10475,8/13/2009,15,0.0027,23,0.212665406,0.000117391,0.009246322,2,25
10475,8/13/2009,16,0.0015,23,0.118147448,6.52174E-05,0.005136846,10,250
10475,8/13/2009,17,0.0042,23,0.330812854,0.000182609,0.014383168,20,0
10475,9/1/2009,1,0.0065,18,0.511972275,0.000361111,0.028442904,20,250
10475,9/1/2009,2,0.0076,18,0.598613737,0.000422222,0.033256319,20,25
10475,9/1/2009,3,0.1141,18,8.987082546,0.006338889,0.499282364,2,125
10475,9/1/2009,4,0.1655,18,13.03560176,0.009194444,0.724200098,2,250
10475,9/1/2009,5,0.007,18,0.551354757,0.000388889,0.03063082,20,125
10475,9/1/2009,6,0.1574,18,12.39760555,0.008744444,0.688755864,0,0
10475,9/1/2009,7,0.042,18,3.308128544,0.002333333,0.183784919,10,25
10475,9/1/2009,8,0.1021,18,8.041902962,0.005672222,0.446772387,0,250
10475,9/1/2009,9,0.0025,18,0.196912413,0.000138889,0.010939579,0,125
10475,9/1/2009,10,0.0043,18,0.338689351,0.000238889,0.018816075,2,0
10475,9/1/2009,11,0.0049,18,0.38594833,0.000272222,0.021441574,10,125
10475,9/1/2009,12,0.0032,18,0.252047889,0.000177778,0.014002661,0,25
10475,9/1/2009,13,0.1052,18,8.286074354,0.005844444,0.460337464,10,0
10475,9/1/2009,14,0.0011,18,0.086641462,6.11111E-05,0.004813415,0,0
10475,9/1/2009,15,0.0038,18,0.299306868,0.000211111,0.016628159,2,25
10475,9/1/2009,16,0.0014,18,0.110270951,7.77778E-05,0.006126164,10,250
10475,9/1/2009,17,0.0048,18,0.378071834,0.000266667,0.021003991,20,0
10475,9/20/2009,1,0.0249,18,1.961247637,0.001383333,0.108958202,20,250
10475,9/20/2009,2,0.002,18,0.157529931,0.000111111,0.008751663,20,25
10475,9/20/2009,3,0.0087,18,0.685255198,0.000483333,0.038069733,2,125
10475,9/20/2009,4,0.1246,18,9.814114682,0.006922222,0.545228593,2,250
10475,9/20/2009,5,0.0037,18,0.291430372,0.000205556,0.016190576,20,125
10475,9/20/2009,6,0.0764,18,6.017643352,0.004244444,0.33431352,0,0
10475,9/20/2009,7,0.0117,18,0.921550095,0.00065,0.051197227,10,25
10475,9/20/2009,8,0.022,18,1.732829238,0.001222222,0.096268291,0,250
10475,9/20/2009,9,0.0013,18,0.102394455,7.22222E-05,0.005688581,0,125
10475,9/20/2009,10,0.0022,18,0.173282924,0.000122222,0.009626829,2,0
10475,9/20/2009,11,0.0022,18,0.173282924,0.000122222,0.009626829,10,125
10475,9/20/2009,12,0.003,18,0.236294896,0.000166667,0.013127494,0,25
10475,9/20/2009,13,0.0109,18,0.858538122,0.000605556,0.047696562,10,0
10475,9/20/2009,14,0.0032,18,0.252047889,0.000177778,0.014002661,0,0
10475,9/20/2009,15,0.0054,18,0.425330813,0.0003,0.02362949,2,25
10475,9/20/2009,16,0.0012,18,0.094517958,6.66667E-05,0.005250998,10,250
10475,9/20/2009,17,0.0035,18,0.275677379,0.000194444,0.01531541,20,0
