LakeName,LakeID,SampleNumber,SamplePeriod,EnclosureType,CageNumber,ExperimentalAFDM,ControlAFDM,TadDens,TadWtStart,TadWtEnd,MFDens,MFCount,MFBiomassStart,MFBiomassEnd,Silt,Radiation
Spur,10475,S3,18,Experimental,9,0.0025,0.0021,0,0,0,125,86,0.1739092,0.05793088,50,2000
Spur,10475,S3,18,Experimental,10,0.0043,0.0033,2,5.2,5.5,0,0,0,0,0,2000
Spur,10475,S3,18,Experimental,11,0.0049,0.0019,10,26.3,23.8,125,53,0.1739092,0.03570159,0,2000
Spur,10475,S3,18,Experimental,12,0.0032,0.003,0,0,0,25,7,0.03478185,0.004715305,0,1900
Spur,10475,S3,18,Experimental,13,0.1052,0.0073,10,18,14.2,0,0,0,0,37.5,2000
Spur,10475,S3,18,Experimental,14,0.0011,0.003,0,0,0,0,0,0,0,0,2000
Spur,10475,S3,18,Experimental,15,0.0038,0.0023,2,3.7,5.8,25,0,0.03478185,0,0,2000
Spur,10475,S3,18,Experimental,16,0.0014,0.0039,10,20.77,20.1,250,143,0.3478185,0.09632694,0,2000
Spur,10475,S3,18,Experimental,17,0.0048,0.0012,20,31.8,32,0,0,0,0,0,2000
Spur,10475,S4,18,Experimental,1,0.0249,0.0143,20,40.6,31.3,250,133,0.1684037,0.1147451,0,2000
Spur,10475,S4,18,Experimental,2,0.002,0.0044,20,29.1,28.4,25,21,0.01684037,0.01811765,0,2000
Spur,10475,S4,18,Experimental,3,0.0087,0.0019,2,2.9,3.5,125,115,0.08420187,0.0992157,50,2000
Spur,10475,S4,18,Experimental,4,0.1246,0.0142,2,4.5,4.7,250,183,0.1684037,0.1578824,0,2000
Spur,10475,S4,18,Experimental,5,0.0037,0.0041,20,49.7,43.9,125,83,0.08420187,0.07160786,0,2000
Spur,10475,S4,18,Experimental,6,0.0764,0.0531,0,0,0,0,0,0,0,37.5,2000
Spur,10475,S4,18,Experimental,7,0.0117,0.0188,10,15.7,14.9,25,28,0.01684037,0.02415687,25,1950
Spur,10475,S4,18,Experimental,8,0.022,0.0048,0,0,0,250,204,0.1684037,0.0176,0,2000
Spur,10475,S4,18,Experimental,9,0.0013,0.0022,0,0,0,125,113,0.08420187,0.09749022,50,2000
Spur,10475,S4,18,Experimental,10,0.0022,0.001,2,5.5,5.6,0,0,0,0,0,2000
Spur,10475,S4,18,Experimental,11,0.0022,0.0016,10,24.8,20.8,125,61,0.08420187,0.05262746,0,2000
Spur,10475,S4,18,Experimental,12,0.003,0.0015,0,0,0,25,17,0.01684037,0.01466667,0,1900
Spur,10475,S4,18,Experimental,13,0.0109,0.0043,10,14.2,14.4,0,0,0,0,37.5,2000
Spur,10475,S4,18,Experimental,14,0.0032,0.0019,0,0,0,0,0,0,0,0,2000
Spur,10475,S4,18,Experimental,15,0.0054,0.0019,2,5.8,5,25,36,0.01684037,0.03105883,0,2000
Spur,10475,S4,18,Experimental,16,0.0012,0.0006,10,19.5,17.4,250,157,0.1684037,0.135451,0,2000
Spur,10475,S4,18,Experimental,17,0.0035,0.0027,20,32.1,26.3,0,0,0,0,0,2000
