,LakeID,SampleDate,CageNumber,AnimalNumber,GosnerStage,TadpoleWeight
624,10102,23-Aug-09,9,20,34,2.6
980,10102,23-Aug-09,10,1,31,2.1
981,10102,23-Aug-09,10,2,36,3.2
982,10102,23-Aug-09,10,3,35,2.9
983,10102,23-Aug-09,10,4,38,3.7
984,10102,23-Aug-09,10,5,33,2.1
985,10102,23-Aug-09,10,6,36,2.8
986,10102,23-Aug-09,10,7,35,2.3
987,10102,23-Aug-09,10,8,36,2.7
988,10102,23-Aug-09,10,9,36,3
989,10102,23-Aug-09,10,10,31,2.3
990,10102,23-Aug-09,10,11,31,2.4
991,10102,23-Aug-09,10,12,31,2.4
992,10102,23-Aug-09,10,13,31,1.7
993,10102,23-Aug-09,10,14,31,1.9
994,10102,23-Aug-09,10,15,34,2.6
995,10102,23-Aug-09,10,16,34,2.4
996,10102,23-Aug-09,10,17,35,2.3
997,10102,23-Aug-09,10,18,31,1.6
998,10102,23-Aug-09,10,19,36,2.6
999,10102,23-Aug-09,10,20,35,2.5
1000,10102,23-Aug-09,12,1,34,1.9
1001,10102,23-Aug-09,12,2,33,2.7
1002,10102,23-Aug-09,12,3,35,2.9
1003,10102,23-Aug-09,12,4,35,2.3
1004,10102,23-Aug-09,12,5,36,2.7
1005,10102,23-Aug-09,12,6,35,2.6
1006,10102,23-Aug-09,12,7,31,1.5
1007,10102,23-Aug-09,12,8,36,2.8
1008,10102,23-Aug-09,12,9,35,2.4
1009,10102,23-Aug-09,12,10,31,2.3
756,10102,23-Aug-09,13,1,36,3
757,10102,23-Aug-09,13,2,32,2.3
803,10102,23-Aug-09,14,1,37,3.6
804,10102,23-Aug-09,14,2,37,3.6
805,10102,23-Aug-09,14,3,32,2.5
806,10102,23-Aug-09,14,4,35,2.2
807,10102,23-Aug-09,14,5,33,2.5
808,10102,23-Aug-09,14,6,36,2.2
809,10102,23-Aug-09,14,7,35,2.8
810,10102,23-Aug-09,14,8,35,2
811,10102,23-Aug-09,14,9,35,2.9
812,10102,23-Aug-09,14,10,32,2
868,10102,23-Aug-09,17,1,36,3
869,10102,23-Aug-09,17,2,32,2.8
870,10102,23-Aug-09,17,3,33,2.5
871,10102,23-Aug-09,17,4,34,2.7
872,10102,23-Aug-09,17,5,36,3.3
873,10102,23-Aug-09,17,6,33,2.3
874,10102,23-Aug-09,17,7,31,1.8
875,10102,23-Aug-09,17,8,33,2.3
876,10102,23-Aug-09,17,9,31,1.8
877,10102,23-Aug-09,17,10,34,2.9
169,10102,14-Sep-09,1,1,35,3.1
170,10102,14-Sep-09,1,2,35,3.1
171,10102,14-Sep-09,1,3,35,2.7
172,10102,14-Sep-09,1,4,35,3.3
173,10102,14-Sep-09,1,5,34,2.1
174,10102,14-Sep-09,1,6,34,3
175,10102,14-Sep-09,1,7,34,3
176,10102,14-Sep-09,1,8,35,3.4
177,10102,14-Sep-09,1,9,33,2.3
178,10102,14-Sep-09,1,10,35,2.5
179,10102,14-Sep-09,1,11,34,2
180,10102,14-Sep-09,1,12,35,2.9
181,10102,14-Sep-09,1,13,37,2.7
182,10102,14-Sep-09,1,14,36,2.9
183,10102,14-Sep-09,1,15,34,2.3
184,10102,14-Sep-09,1,16,36,2.5
185,10102,14-Sep-09,1,17,35,2.6
186,10102,14-Sep-09,1,18,31, na
187,10102,14-Sep-09,1,19,31,2.2
188,10102,14-Sep-09,1,20,34,2.7
274,10102,14-Sep-09,2,1,36,3.5
275,10102,14-Sep-09,2,2,34,2.8
346,10102,14-Sep-09,3,1,33,2.8
347,10102,14-Sep-09,3,2,36,3.2
484,10102,14-Sep-09,6,1,35,2.6
485,10102,14-Sep-09,6,2,36,3.3
486,10102,14-Sep-09,6,3,36,3
487,10102,14-Sep-09,6,4,36,3.5
488,10102,14-Sep-09,6,5,35,2.7
489,10102,14-Sep-09,6,6,36,2.8
490,10102,14-Sep-09,6,7,35,2.5
491,10102,14-Sep-09,6,8,34,2.4
492,10102,14-Sep-09,6,9,35,2.8
493,10102,14-Sep-09,6,10,35,2.9
494,10102,14-Sep-09,6,11,32,2.2
495,10102,14-Sep-09,6,12,35,2.4
496,10102,14-Sep-09,6,13,31,2.2
497,10102,14-Sep-09,6,14,36,2.6
498,10102,14-Sep-09,6,15,33,2.1
499,10102,14-Sep-09,6,16,30,1.9
500,10102,14-Sep-09,6,17,36,2.3
501,10102,14-Sep-09,6,18,33,2.1
502,10102,14-Sep-09,6,19,31,2.2
503,10102,14-Sep-09,6,20,30,1.8
508,10102,14-Sep-09,7,1,35,3.1
509,10102,14-Sep-09,7,2,32,2.8
575,10102,14-Sep-09,8,1,34,3
576,10102,14-Sep-09,8,2,35,2.6
577,10102,14-Sep-09,8,3,33,2.7
578,10102,14-Sep-09,8,4,34,2.8
579,10102,14-Sep-09,8,5,31,2
580,10102,14-Sep-09,8,6,35,2.5
581,10102,14-Sep-09,8,7,36,2.8
582,10102,14-Sep-09,8,8,33,2.2
583,10102,14-Sep-09,8,9,30,1.5
584,10102,14-Sep-09,8,10,27,0.6
625,10102,14-Sep-09,9,1,36,3
626,10102,14-Sep-09,9,2,35,2.7
627,10102,14-Sep-09,9,3,36,3.5
628,10102,14-Sep-09,9,4,32,2.7
629,10102,14-Sep-09,9,5,36,4.4
630,10102,14-Sep-09,9,6,35,3.1
631,10102,14-Sep-09,9,7,36,3.2
632,10102,14-Sep-09,9,8,31,2.6
633,10102,14-Sep-09,9,9,35,3.1
634,10102,14-Sep-09,9,10,33,2.6
635,10102,14-Sep-09,9,11,37,4.9
636,10102,14-Sep-09,9,12,35,2.8
637,10102,14-Sep-09,9,13,35,3
638,10102,14-Sep-09,9,14,33,2.5
639,10102,14-Sep-09,9,15,31,2.4
640,10102,14-Sep-09,9,16,35,3.1
641,10102,14-Sep-09,9,17,36,3.3
642,10102,14-Sep-09,9,18,34,2.2
643,10102,14-Sep-09,9,19,34,2.7
644,10102,14-Sep-09,9,20,33,2.3
665,10102,14-Sep-09,10,1,34,1.6
666,10102,14-Sep-09,10,2,35,3.1
667,10102,14-Sep-09,10,3,31,2.1
668,10102,14-Sep-09,10,4,38,4.2
669,10102,14-Sep-09,10,5,33,2.5
670,10102,14-Sep-09,10,6,36,3
671,10102,14-Sep-09,10,7,31,2.8
672,10102,14-Sep-09,10,8,36,3.3
673,10102,14-Sep-09,10,9,31,2.3
674,10102,14-Sep-09,10,10,35,2.8
675,10102,14-Sep-09,10,11,34,3
676,10102,14-Sep-09,10,12,35,3.4
677,10102,14-Sep-09,10,13,31,2.2
678,10102,14-Sep-09,10,14,35,2.8
679,10102,14-Sep-09,10,15,36,2.9
680,10102,14-Sep-09,10,16,35,2.5
681,10102,14-Sep-09,10,17,36,2.6
682,10102,14-Sep-09,10,18,31,2.1
683,10102,14-Sep-09,10,19,32,2
684,10102,14-Sep-09,10,20,35,2.5
744,10102,14-Sep-09,12,1,36,3
745,10102,14-Sep-09,12,2,36,2.8
746,10102,14-Sep-09,12,3,35,2.8
747,10102,14-Sep-09,12,4,36,3.1
748,10102,14-Sep-09,12,5,32,2.7
749,10102,14-Sep-09,12,6,37,2.9
750,10102,14-Sep-09,12,7,37,2.9
751,10102,14-Sep-09,12,8,33,2.2
752,10102,14-Sep-09,12,9,29,1.8
753,10102,14-Sep-09,12,10,31,2.1
758,10102,14-Sep-09,13,1,35,3.8
759,10102,14-Sep-09,13,2,31,2.6
813,10102,14-Sep-09,14,1,31,2.4
814,10102,14-Sep-09,14,2,36,3.8
815,10102,14-Sep-09,14,3,35,2.4
816,10102,14-Sep-09,14,4,33,2.4
817,10102,14-Sep-09,14,5,37,4
818,10102,14-Sep-09,14,6,35,2.7
819,10102,14-Sep-09,14,7,35,2.2
820,10102,14-Sep-09,14,8,35,3.2
821,10102,14-Sep-09,14,9,34,2.8
822,10102,14-Sep-09,14,10,35,3
878,10102,14-Sep-09,17,1,33,3
879,10102,14-Sep-09,17,2,36,3.5
880,10102,14-Sep-09,17,3,31,2.6
881,10102,14-Sep-09,17,4,36,3.6
882,10102,14-Sep-09,17,5,32,2.5
883,10102,14-Sep-09,17,6,33,3
884,10102,14-Sep-09,17,7,32,2.8
885,10102,14-Sep-09,17,8,32,3.1
886,10102,14-Sep-09,17,9,31,2.1
887,10102,14-Sep-09,17,10,31,2.4
189,10475,21-Jul-09,1,1,37,7.9
190,10475,21-Jul-09,1,2,27,0.3
191,10475,21-Jul-09,1,3,36,5.4
192,10475,21-Jul-09,1,4,36,5.1
193,10475,21-Jul-09,1,5,29,1.5
194,10475,21-Jul-09,1,6,35,4
195,10475,21-Jul-09,1,7,36,2.7
196,10475,21-Jul-09,1,8,30,1.5
197,10475,21-Jul-09,1,9,29,1.2
198,10475,21-Jul-09,1,10,29,2.8
199,10475,21-Jul-09,1,11,36,4.5
200,10475,21-Jul-09,1,12,28,1.2
201,10475,21-Jul-09,1,13,28,1.4
202,10475,21-Jul-09,1,14,27,1.3
203,10475,21-Jul-09,1,15,37,6.1
204,10475,21-Jul-09,1,16,28,1.2
205,10475,21-Jul-09,1,17,35,5.3
206,10475,21-Jul-09,1,18,28,1.2
207,10475,21-Jul-09,1,19,27,1.1
208,10475,21-Jul-09,1,20,37,5
276,10475,21-Jul-09,2,1,36,6.4
277,10475,21-Jul-09,2,2,30,1.5
278,10475,21-Jul-09,2,3,29,1.7
279,10475,21-Jul-09,2,4,29,1.7
280,10475,21-Jul-09,2,5,37,5.3
281,10475,21-Jul-09,2,6,29,1.8
282,10475,21-Jul-09,2,7,37,7.5
283,10475,21-Jul-09,2,8,37,5.8
284,10475,21-Jul-09,2,9,28,1.4
285,10475,21-Jul-09,2,10,27,1.2
286,10475,21-Jul-09,2,11,35,3.3
287,10475,21-Jul-09,2,12,29,1.5
288,10475,21-Jul-09,2,13,37,5.5
289,10475,21-Jul-09,2,14,28,1.2
290,10475,21-Jul-09,2,15,36,4.3
291,10475,21-Jul-09,2,16,29,1.7
292,10475,21-Jul-09,2,17,29,1
293,10475,21-Jul-09,2,18,35,5.1
294,10475,21-Jul-09,2,19,38,6.5
295,10475,21-Jul-09,2,20,29,0.8
348,10475,21-Jul-09,3,1,36,3
349,10475,21-Jul-09,3,2,29,1.5
355,10475,21-Jul-09,4,1,28,1.7
356,10475,21-Jul-09,4,2,37,4.6
362,10475,21-Jul-09,5,1,28,1.1
363,10475,21-Jul-09,5,2,37,5.6
364,10475,21-Jul-09,5,3,37,6.5
365,10475,21-Jul-09,5,4,29,1
366,10475,21-Jul-09,5,5,37,6.8
367,10475,21-Jul-09,5,6,28,1
368,10475,21-Jul-09,5,7,37,5.1
369,10475,21-Jul-09,5,8,36,4.5
370,10475,21-Jul-09,5,9,29,1.4
371,10475,21-Jul-09,5,10,37,4.8
372,10475,21-Jul-09,5,11,29,1.2
373,10475,21-Jul-09,5,12,37,4.8
374,10475,21-Jul-09,5,13,36,4.5
375,10475,21-Jul-09,5,14,27,1.1
376,10475,21-Jul-09,5,15,28,1
377,10475,21-Jul-09,5,16,37,4.3
378,10475,21-Jul-09,5,17,28,1.2
379,10475,21-Jul-09,5,18,29,1.4
380,10475,21-Jul-09,5,19,37,9.3
381,10475,21-Jul-09,5,20,29,1.1
510,10475,21-Jul-09,7,1,37,5.3
511,10475,21-Jul-09,7,2,37,5
512,10475,21-Jul-09,7,3,28,1.1
513,10475,21-Jul-09,7,4,28,1.2
514,10475,21-Jul-09,7,5,37,5.8
515,10475,21-Jul-09,7,6,30,1.4
516,10475,21-Jul-09,7,7,29,1.1
517,10475,21-Jul-09,7,8,37,4
518,10475,21-Jul-09,7,9,29,1.3
519,10475,21-Jul-09,7,10,36,4.2
685,10475,21-Jul-09,10,1,36,4.7
686,10475,21-Jul-09,10,2,28,1.4
691,10475,21-Jul-09,11,1,36,5.9
692,10475,21-Jul-09,11,2,37,4.6
693,10475,21-Jul-09,11,3,29,1.3
694,10475,21-Jul-09,11,4,28,1.5
695,10475,21-Jul-09,11,5,29,1.6
696,10475,21-Jul-09,11,6,35,4.3
697,10475,21-Jul-09,11,7,37,5.1
698,10475,21-Jul-09,11,8,36,4.5
699,10475,21-Jul-09,11,9,30,1.7
700,10475,21-Jul-09,11,10,36,4.7
760,10475,21-Jul-09,13,1,37,5
761,10475,21-Jul-09,13,2,37,4.7
762,10475,21-Jul-09,13,3,29,1
763,10475,21-Jul-09,13,4,37,5.4
764,10475,21-Jul-09,13,5,37,5
765,10475,21-Jul-09,13,6,29,1.9
766,10475,21-Jul-09,13,7,29,1.4
767,10475,21-Jul-09,13,8,29,1.2
768,10475,21-Jul-09,13,9,30,1.2
769,10475,21-Jul-09,13,10,37,3.6
823,10475,21-Jul-09,15,1,30,2.7
824,10475,21-Jul-09,15,2,37,4
827,10475,21-Jul-09,16,1,37,5.8
828,10475,21-Jul-09,16,2,36,4.2
829,10475,21-Jul-09,16,3,30,1
830,10475,21-Jul-09,16,4,28,0.8
831,10475,21-Jul-09,16,5,30,1.3
832,10475,21-Jul-09,16,6,36,4.9
833,10475,21-Jul-09,16,7,29,1.5
834,10475,21-Jul-09,16,8,29,1.3
835,10475,21-Jul-09,16,9,36,4.4
836,10475,21-Jul-09,16,10,30,0.4
888,10475,21-Jul-09,17,1,28,1.2
889,10475,21-Jul-09,17,2,29,2.4
890,10475,21-Jul-09,17,3,37,7.2
891,10475,21-Jul-09,17,4,28,1.1
892,10475,21-Jul-09,17,5,37,5.8
893,10475,21-Jul-09,17,6,37,5.2
894,10475,21-Jul-09,17,7,29,1.8
895,10475,21-Jul-09,17,8,28,1.6
896,10475,21-Jul-09,17,9,29,1.5
897,10475,21-Jul-09,17,10,38,6.4
898,10475,21-Jul-09,17,11,29,1.2
899,10475,21-Jul-09,17,12,37,5.4
900,10475,21-Jul-09,17,13,29,1.2
901,10475,21-Jul-09,17,14,36,4.6
902,10475,21-Jul-09,17,15,37,3.4
903,10475,21-Jul-09,17,16,28,1
904,10475,21-Jul-09,17,17,36,4.1
905,10475,21-Jul-09,17,18,29,1.8
906,10475,21-Jul-09,17,19,36,4.8
907,10475,21-Jul-09,17,20,29,1.8
209,10475,12-Aug-09,1,1,36,2.4
210,10475,12-Aug-09,1,2,38,4.7
211,10475,12-Aug-09,1,3,37,4.6
212,10475,12-Aug-09,1,4,41,3.1
213,10475,12-Aug-09,1,5,28,0.8
214,10475,12-Aug-09,1,6,37,4.3
215,10475,12-Aug-09,1,7,29,1.7
216,10475,12-Aug-09,1,8,27,0.4
217,10475,12-Aug-09,1,9,37,3.6
218,10475,12-Aug-09,1,10,28,0.5
219,10475,12-Aug-09,1,11,28,0.8
220,10475,12-Aug-09,1,12,37,5.2
221,10475,12-Aug-09,1,13,31,1
222,10475,12-Aug-09,1,14,28,0.6
223,10475,12-Aug-09,1,15,30,0.8
224,10475,12-Aug-09,1,16,31,1.4
225,10475,12-Aug-09,1,17,29,1.2
226,10475,12-Aug-09,1,18,37,4.3
227,10475,12-Aug-09,1,19,37,3.7
296,10475,12-Aug-09,2,1,38,4.2
297,10475,12-Aug-09,2,2,39,5.7
298,10475,12-Aug-09,2,3,37,4
299,10475,12-Aug-09,2,4,37,2.7
300,10475,12-Aug-09,2,5,40,4.1
301,10475,12-Aug-09,2,6,40,4.8
302,10475,12-Aug-09,2,7,40,5.8
303,10475,12-Aug-09,2,8,41,3.7
304,10475,12-Aug-09,2,9,30,1.1
305,10475,12-Aug-09,2,10,30,1.2
306,10475,12-Aug-09,2,11,31,1.5
307,10475,12-Aug-09,2,12,31,1.2
308,10475,12-Aug-09,2,13,40,4.1
309,10475,12-Aug-09,2,14,29,1.2
310,10475,12-Aug-09,2,15,29,0.9
311,10475,12-Aug-09,2,16,29,1.2
312,10475,12-Aug-09,2,17,30,1.3
313,10475,12-Aug-09,2,18,29,0.7
314,10475,12-Aug-09,2,19,29,0.9
315,10475,12-Aug-09,2,20,29,0.9
350,10475,12-Aug-09,3,1,39,4.1
351,10475,12-Aug-09,3,2,32,1.9
357,10475,12-Aug-09,4,1,37,4.4
358,10475,12-Aug-09,4,2,33,1.8
382,10475,12-Aug-09,5,1,41,3.9
383,10475,12-Aug-09,5,2,41,4.8
384,10475,12-Aug-09,5,3,38,5.1
385,10475,12-Aug-09,5,4,38,4.4
386,10475,12-Aug-09,5,5,38,8.6
387,10475,12-Aug-09,5,6,31,1.2
388,10475,12-Aug-09,5,7,28,0.9
389,10475,12-Aug-09,5,8,30,0.9
390,10475,12-Aug-09,5,9,29,1.2
391,10475,12-Aug-09,5,10,31,0.9
392,10475,12-Aug-09,5,11,29,1
393,10475,12-Aug-09,5,12,29,0.7
394,10475,12-Aug-09,5,13,28,0.9
395,10475,12-Aug-09,5,14,28,0.8
396,10475,12-Aug-09,5,16,37,3.6
397,10475,12-Aug-09,5,17,29,1.5
398,10475,12-Aug-09,5,18,37,3.4
399,10475,12-Aug-09,5,19,37,3.8
400,10475,12-Aug-09,5,20,39,5.5
520,10475,12-Aug-09,7,1,41,3.9
521,10475,12-Aug-09,7,2,41,3.9
522,10475,12-Aug-09,7,3,40,3.7
523,10475,12-Aug-09,7,4,40,4.2
524,10475,12-Aug-09,7,5,38,3.6
525,10475,12-Aug-09,7,6,28,0.9
526,10475,12-Aug-09,7,7,31,1.3
527,10475,12-Aug-09,7,8,31,1
528,10475,12-Aug-09,7,9,31,1.3
529,10475,12-Aug-09,7,10,30,1
687,10475,12-Aug-09,10,1,31,1.6
701,10475,12-Aug-09,11,1,37,3.6
702,10475,12-Aug-09,11,2,38,4.8
703,10475,12-Aug-09,11,3,38,4.2
