LakeName,LakeID,CageNumber,SampleNumber,StartEnd,MFCount,SampleNumberInt,TadpoleTx,MayflyTx,PpnChange
Spur,10475,3,S4,Start,125,3,2,125,0
Spur,10475,3,S4,End,115,4,2,125,-0.08
Spur,10475,4,S2,Start,250,1,2,250,0
Spur,10475,4,S2,End,11,2,2,250,-0.956
Spur,10475,4,S3,Start,250,2,2,250,0
Spur,10475,4,S3,End,136,3,2,250,-0.456
Spur,10475,4,S4,Start,250,3,2,250,0
Spur,10475,4,S4,End,183,4,2,250,-0.268
Spur,10475,5,S2,Start,125,1,20,125,0
Spur,10475,5,S2,End,5,2,20,125,-0.96
Spur,10475,5,S3,Start,125,2,20,125,0
Spur,10475,5,S3,End,53,3,20,125,-0.576
Spur,10475,5,S4,Start,125,3,20,125,0
Spur,10475,5,S4,End,83,4,20,125,-0.336
Spur,10475,6,S2,Start,0,1,0,0,0
Spur,10475,6,S2,End,0,2,0,0,0
Spur,10475,6,S3,Start,0,2,0,0,0
Spur,10475,6,S3,End,2,3,0,0,0
Spur,10475,6,S4,Start,0,3,0,0,0
Spur,10475,6,S4,End,0,4,0,0,0
Spur,10475,7,S2,Start,25,1,10,25,0
Spur,10475,7,S2,End,0,2,10,25,-1
Spur,10475,7,S3,Start,25,2,10,25,0
Spur,10475,7,S3,End,6,3,10,25,-0.76
Spur,10475,7,S4,Start,25,3,10,25,0
Spur,10475,7,S4,End,28,4,10,25,0.12
Spur,10475,8,S2,Start,250,1,0,250,0
Spur,10475,8,S2,End,17,2,0,250,-0.932
Spur,10475,8,S3,Start,250,2,0,250,0
Spur,10475,8,S3,End,180,3,0,250,-0.28
Spur,10475,8,S4,Start,250,3,0,250,0
Spur,10475,8,S4,End,204,4,0,250,-0.184
Spur,10475,9,S2,Start,125,1,0,125,0
Spur,10475,9,S2,End,18,2,0,125,-0.856
Spur,10475,9,S3,Start,125,2,0,125,0
Spur,10475,9,S3,End,86,3,0,125,-0.312
Spur,10475,9,S4,Start,125,3,0,125,0
Spur,10475,9,S4,End,113,4,0,125,-0.096
Spur,10475,10,S2,Start,0,1,2,0,0
Spur,10475,10,S2,End,0,2,2,0,0
Spur,10475,10,S3,Start,0,2,2,0,0
Spur,10475,10,S3,End,0,3,2,0,0
Spur,10475,10,S4,Start,0,3,2,0,0
Spur,10475,10,S4,End,0,4,2,0,0
Spur,10475,11,S2,Start,125,1,10,125,0
Spur,10475,11,S2,End,0,2,10,125,-1
Spur,10475,11,S3,Start,125,2,10,125,0
Spur,10475,11,S3,End,53,3,10,125,-0.576
Spur,10475,11,S4,Start,125,3,10,125,0
Spur,10475,11,S4,End,61,4,10,125,-0.512
Spur,10475,12,S2,Start,25,1,0,25,0
Spur,10475,12,S2,End,0,2,0,25,-1
Spur,10475,12,S3,Start,25,2,0,25,0
Spur,10475,12,S3,End,7,3,0,25,-0.72
Spur,10475,12,S4,Start,25,3,0,25,0
Spur,10475,12,S4,End,17,4,0,25,-0.32
Spur,10475,13,S2,Start,0,1,10,0,0
Spur,10475,13,S2,End,0,2,10,0,0
Spur,10475,13,S3,Start,0,2,10,0,0
Spur,10475,13,S3,End,0,3,10,0,0
Spur,10475,13,S4,Start,0,3,10,0,0
Spur,10475,13,S4,End,0,4,10,0,0
Spur,10475,14,S2,Start,0,1,0,0,0
Spur,10475,14,S2,End,0,2,0,0,0
Spur,10475,14,S3,Start,0,2,0,0,0
Spur,10475,14,S3,End,0,3,0,0,0
Spur,10475,14,S4,Start,0,3,0,0,0
Spur,10475,14,S4,End,0,4,0,0,0
Spur,10475,15,S2,Start,25,1,2,25,0
Spur,10475,15,S2,End,0,2,2,25,-1
Spur,10475,15,S3,Start,25,2,2,25,0
Spur,10475,15,S3,End,0,3,2,25,-1
Spur,10475,15,S4,Start,25,3,2,25,0
Spur,10475,15,S4,End,36,4,2,25,0.44
Spur,10475,16,S2,Start,250,1,10,250,0
Spur,10475,16,S2,End,14,2,10,250,-0.944
Spur,10475,16,S3,Start,250,2,10,250,0
Spur,10475,16,S3,End,143,3,10,250,-0.428
Spur,10475,16,S4,Start,250,3,10,250,0
Spur,10475,16,S4,End,157,4,10,250,-0.372
Spur,10475,17,S2,Start,0,1,20,0,0
Spur,10475,17,S2,End,0,2,20,0,0
Spur,10475,17,S3,Start,0,2,20,0,0
Spur,10475,17,S3,End,0,3,20,0,0
Spur,10475,17,S4,Start,0,3,20,0,0
Spur,10475,17,S4,End,0,4,20,0,0
